organization,publisher,publisher_1,publisher_2,publisher_3,publisher_4,publisher_5
agricultural-marketing-service-department-of-agriculture,Department of Agriculture,Agricultural Marketing Service,,,,
alcohol-and-tobacco-tax-and-trade-bureau-ttb,Alcohol and Tobacco Tax and Trade Bureau (TTB),Alcohol and Tobacco Tax and Trade Bureau,,,,
consumer-financial-protection-bureau,Consumer Financial Protection Bureau,,,,,
usda-gov,Department of Agriculture,Agricultural Marketing Service,,,,
usda-gov,Department of Agriculture,Agricultural Research Service,,,,
usda-gov,Department of Agriculture,Animal and Plant Health Inspection Service,,,,
usda-gov,Department of Agriculture,Departmental Management,,,,
usda-gov,Department of Agriculture,Economic Research Service,,,,
usda-gov,Department of Agriculture,Farm Service Agency,,,,
usda-gov,Department of Agriculture,Food and Nutrition Service,,,,
usda-gov,Department of Agriculture,Food Safety and Inspection Service,,,,
usda-gov,Department of Agriculture,Foreign Agricultural Service,,,,
usda-gov,Department of Agriculture,GIPSA,Federal Grain Inspection Service,,,
usda-gov,Department of Agriculture,National Institute of Food and Agriculture,,,,
usda-gov,Department of Agriculture,National Agricultural Statistics Service,,,,
usda-gov,Department of Agriculture,Natural Resources Conservation Service,Colorado State University,,,
usda-gov,Department of Agriculture,Office of the Chief Information Officer,,,,
usda-gov,Department of Agriculture,Rural Development,,,,
usda-gov,Department of Agriculture,US Forest Service,,,,
department-of-commerce,Department of Commerce,Bureau of Industry and Security,,,,
department-of-commerce,Department of Commerce,Bureau of Economic Analysis,,,,
department-of-commerce,Department of Commerce,International Trade Administration,,,,
department-of-commerce,Department of Commerce,National Institute of Standards and Technology,,,,
department-of-commerce,Department of Commerce,National Oceanic and Atmospheric Administration,,,,
department-of-commerce,Department of Commerce,National Technical Information Service,,,,
department-of-commerce,Department of Commerce,National Telecommunication and Information Administration,,,,
department-of-commerce,Department of Commerce,National Weather Service,,,,
department-of-commerce,Department of Commerce,U.S. Census Bureau,,,,
department-of-commerce,Department of Commerce,US Patent and Trademark Office,,,,
department-of-defense,Department of Defense,Department of the Air Force,,,,
